School ID,School Name,Borough,Building Code,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Start Time,End Time,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested,language_classes,# of Language Classes,online_language_courses,# of online language courses,advancedplacement_courses,# of ap courses,online_ap_courses,# of online ap courses,extracurricular_activities,# of extracurriculars,psal_sports_boys,# of boys sports,psal_sports_girls,# of girls sports,psal_sports_coed,# of coed sports
01M292,Henry Street School for International Studies,Manhattan,M056,220 Henry Street,Manhattan,NY,10002,40.71376,-73.98526,212-406-9411,8:30 AM,3:30 PM,255,3.90%,24.40%,56.60%,13.20%,410,406,381,59.70%,"Chinese (Mandarin), Spanish",2,"Chinese (Mandarin), Spanish",2,Psychology,1,"Chinese Language and Culture, Spanish Literature and Culture",2,"Math through Card Play; Art, Poetry/Spoken Word, Drama, Book, STEP, Big Brothers/Big Sisters, Student Government/Leadership, Future Project",8,Basketball,1,Softball,1,Soccer,1
01M448,University Neighborhood High School,Manhattan,M446,200 Monroe Street,Manhattan,NY,10002,40.71233,-73.9848,212-962-4341,8:15 AM,3:15 PM,304,3.30%,25.00%,41.10%,29.90%,437,355,352,69.90%,"Chinese, Spanish",2,"Chinese (Cantonese), Chinese (Mandarin), Spanish",3,"Calculus AB, Chinese Language and Culture, English Literature and Composition, Spanish Language and Culture, Spanish Literature and Culture, United States History, World History",7,,0,"Basketball, Badminton, Handball, Glee, Dance, Fitness, Ping-Pong, Tennis, Step Team, After-School Tutoring, Peer Tutoring, Lunchtime Tutoring, Saturday SAT Prep, Regents Prep, National Honor Society, Council for Unity, Young Women's Empowerment, Student Assistance Services, Aviation, Book, Chess, Robotics, Computer, Spanish, Student Government, Art, Audio (at a live radio station), Music, Digital Art Studio, Guitar and Piano, Literary Magazine, Murals and School Beautification, and Video. At UNHS, we will also help any student develop any club that has 10 or more students interested in joining.",34,"Baseball, Basketball, Bowling, Cross Country, Handball",5,"Basketball, Bowling, Cross Country, Softball, Tennis",5,,0
01M450,East Side Community School,Manhattan,M060,420 East 12th Street,Manhattan,NY,10009,40.72978,-73.98304,212-460-8467,8:30 AM,3:30 PM,666,8.30%,22.10%,57.90%,9.40%,454,428,445,85.20%,,0,"American Sign Language, Arabic, Chinese (Mandarin), English, French, German, Hebrew, Italian, Japanese, Korean, Latin, Modern Greek, Polish, Portuguese, Russian, Spanish",16,"Calculus AB, English Literature and Composition",2,,0,"After-School Tutoring, Art Portfolio Classes, Chess Team, I Challenge Myself Bicycling Program, Dance, Environmental Committee, Gay/Straight Alliance, Hip-Hop Beat Making & Rhyming, Model UN, School Newspaper, Peer Tutoring, the Brotherhood and Girl's Group, Principal's Book Club, Yoga, Rock Band Program, SAT Prep Classes, Scholars Program, School Newspaper, Skateboarding PE Classes, Student Council, Cheerleading, Gardening Internships, Choir, Travel, Volleyball, Morgan Stanley Internship Program, Saturday Photography Program, Rock Climbing at Brooklyn Boulders, Golf, Video Game Design, Surfing and Snowboarding through Stoked.",31,"Baseball, Basketball, Soccer",3,"Basketball, Soccer, Softball",3,,0
01M509,Marta Valle High School,Manhattan,M025,145 Stanton Street,Manhattan,NY,10002,40.72057,-73.98567,212-473-8152,8:00 AM,3:30 PM,363,2.50%,39.90%,51.20%,5.80%,438,413,394,35.60%,"French, Spanish",2,Spanish,1,"English Literature and Composition, Studio Art: Drawing",2,,0,"Model Peer Leadership Program, 'The Vine' Student Newsletter, 21st Century After-school Program, Student Ambassadors, Animation, Annual College and Career Fair, Annual Family Night, Art, Audio Recording, Camping, Theater Trips, Cheerleading, Chorus, College Trips & Tours, CUNY and Free Application for Federal Student Aid (FAFSA) Application Workshops, Dance, Film, Gallatin Great Works Project (NYU), Kaplan SAT Prep, Monthly Family Resource Fairs, MOUSE Squad, Music Recording, National Honor Society, on-site Placement and Referral Office for Summer Youth Employment Program, Parent Resource Room, Painting, Peer Mediation and Conflict Resolution, Piano, Princeton Center for Leadership, Recycling, Saturday Success Academy Regents Prep, Smart and Fabulous Fashion Show, Songwriting, Step Dance, Student Advisory Council, Student Ambassador Program, Sarah Lawrence College Student Interns, lunchtime Cafe Clubs, Theater, Video and Production, Visual Art, Voice, Young Entrepreneurs",43,"Basketball, Rugby",2,"Rugby, Volleyball",2,Rugby,1
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,M022,111 Columbia Street,Manhattan,NY,10002,40.71873,-73.97943,212-677-5190,8:15 AM,4:00 PM,1735,28.60%,13.30%,18.00%,38.50%,657,601,601,91.00%,"Chinese (Mandarin), French, Italian, Latin, Spanish",5,,0,"Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Comparative Government and Politics, Computer Science A, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language and Culture, Human Geography, Microeconomics, Physics B, Psychology, Spanish Language and Culture, Statistics, United States History, World History",20,,0,"After-school Jazz Band, Annual Coffee House Concert, Annual Gallery Walk Art Exhibitions, Badminton, Baseball, Basketball, Borough Advisory Student Council, Boys Soccer, Community Service Learning, Competitive Ballroom Dancing, Creative Writing, Debate Committee, Debate Team, Educational Field Trips, Girls Volleyball, Green Club, Gay-Straight Alliance (GSA), Handball, Heart to Heart Charity, Kangaroo International Competition, Mandarin, Math Team, Model UN, National and Local Chess Championships, National Honor Society, NESTFest (Annual Talent Show), New York Math League Competition, Peer Leaders, Red Cross, Robotics, Scholastic Arts Competition, School Leadership Team (SLT), Social Justice, Softball, Student Government, The City Tones (Chorus), The Gauss Contest, The Purple Meet, Time Warner Cable, Ultimate Frisbee, Varsity Dance Team, Winter and Spring School Plays, World Science Festival",43,"Basketball, Fencing, Indoor Track",3,"Basketball, Fencing, Indoor Track",3,,0
01M696,Bard High School Early College,Manhattan,M097,525 East Houston Street,Manhattan,NY,10002,40.71896,-73.97607,212-995-8479,9:00 AM,3:50 PM,545,45.30%,17.20%,18.70%,17.10%,634,641,639,70.80%,"Chinese (Mandarin), Latin, Spanish",3,,0,,0,,0,"Bard Bulletin online newspaper, Bardvark student newspaper, Art Magazine, Asian Culture, BHSEC Connect, BHSEC Literary Magazine, BHSEC Student Activist Network, BHSEC Student's Union, Book, Break Dance, CAFE performances, Chinese Language and Culture, Current Events, Debate, ECO, Film, Future Doctors and Scientists of America (FDSA), Karaoke, Literary Magazine, MAC (Making A Change), Mock Trial, Model UN, Muslim Students Association, Philosophy, Step Team, Swim, Table Tennis, Theater Production, Winter and Spring Concerts, Yearbook",30,"Basketball, Soccer, Tennis",3,"Basketball, Soccer, Tennis, Volleyball",4,Outdoor Track,1
02M047,47 American Sign Language and English Secondary School,Manhattan,M047,223 East 23rd Street,Manhattan,NY,10010,40.7386,-73.98251,917-326-6668,8:45 AM,3:45 PM,169,5.30%,28.40%,64.50%,1.20%,,,,48.30%,American Sign Language,1,,0,,0,,0,"Academic Bowl, ACT and SAT Test Preparation, After-school Mentoring and Tutoring, American Sign Language (ASL), Artist-in-Residence from Children's Museum of the Arts, Arts and Crafts, Boys Club, Chess, Comic Books, Community and Museum Internships, Computer-Photoshop, Conflict Resolution, Dance, Drama, Girls Club, Knitting, Mock Debates, One-on-one tutoring in all subjects, Peer Mediation, Regents Test Preparation, School Newspaper (in print and video), Student Council, Student Discussion Boards, Video Production and Editing, Visits to American Sign Language (ASL) Interpreted Broadway shows, Weight Room, Yearbook",27,Basketball,1,,0,,0
02M135,Urban Assembly School for Emergency Management,Manhattan,M625,439 West 49th Street,Manhattan,NY,10019,40.76336,-73.99051,212-245-4670,8:41 AM,3:31 PM,193,2.60%,28.50%,62.20%,5.70%,,,,,,0,,0,,0,,0,"Peer Mediation, Peer Tutoring, Student Council, National Honor Society, Yearbook, PSAT and SAT Preparation, Step, Dance; Clubs: Drama, Art and Photography, Chess",10,"Baseball, Basketball, Outdoor Track, Soccer",4,"Basketball, Outdoor Track, Soccer, Softball, Volleyball",5,"Bowling, Tennis",2
02M139,Stephen T. Mather Building Arts and Craftsmanship High School,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.71068,-74.00081,212-225-0998,9:10 AM,3:30 PM,193,8.80%,24.90%,61.10%,3.60%,,,,,"Arabic, French, Spanish, Spanish Native Language Arts",4,"Arabic, French, Spanish",3,"Art History, Biology, Chemistry, Studio Art: 2-D Design, Studio Art: 3-D Design, United States History",6,"Art History, Studio Art: 2-D Design, Studio Art: 3-D Design, United States History",4,"Student council, Wednesday community service, yearbook, Naval JrROTC, National Honor Society, Peer Mediation, tutoring/peer tutoring, Gay/Straight Alliance, among others",9,"Baseball & JV Baseball, Basketball & JV Basketball, Outdoor Track, Soccer",4,"Basketball, Softball, Volleyball",3,"Bowling, Handball, Outdoor Track",3
02M260,Clinton School Writers and Artists,Manhattan,M933,425 West 33rd Street,Manhattan,NY,10001,40.75321,-73.99786,212-695-9114,,,,,,,,,,,,Chinese (Mandarin),1,,0,,0,,0,"College Now, Technology, Model UN, Student Government, School Leadership Team, Music, School Musical, National Honor Society, The Clinton Post (School Newspaper), Clinton Soup (Literary Magazine), GLSEN, Glee",12,"Soccer, Volleyball",2,"Soccer, Volleyball",2,"Cross Country, Outdoor Track",2
